"('id', 'SP:cc1ee2aef2fbdf02f7d693d14525e8386aa1cfd7')","('year', 2018)","('abstractText', '')","('authors', [{'name': 'Zhen Wang', 'affiliations': []}, {'name': 'Felix Xiaozhu Lin', 'affiliations': []}, {'name': 'Lin Zhong', 'affiliations': []}])","('filename', '!The LiveLab Project - Rice Efficient Computing Group, Department of Electrical and Computer Engineering, Rice University.pdf')","('title', '')"
"('id', 'SP:403743e206041e42a10499d19ed5f82a9487b374')","('year', 2008)","('abstractText', 'We review the applications of structured expert judgment uncertainty quantification using the ‘‘classical model’’ developed at the Delft University of Technology over the last 17 years [Cooke RM. Experts in uncertainty. Oxford: Oxford University Press; 1991; Expert judgment study on atmospheric dispersion and deposition. Report Faculty of Technical Mathematics and Informatics No.01-81, Delft University of Technology; 1991]. These involve 45 expert panels, performed under contract with problem owners who reviewed and approved the results. With a few exceptions, all these applications involved the use of seed variables; that is, variables from the experts’ area of expertise for which the true values are available post hoc. Seed variables are used to (1) measure expert performance, (2) enable performance-based weighted combination of experts’ distributions, and (3) evaluate and hopefully validate the resulting combination or ‘‘decision maker’’. This article reviews the classical model for structured expert judgment and the performance measures, reviews applications, comparing performance-based decision makers with ‘‘equal weight’’ decision makers, and collects some lessons learned. r 2007 Elsevier Ltd. All rights reserved.')","('authors', [{'name': 'Roger M. Cooke', 'affiliations': []}, {'name': 'Louis L.H.J. Goossens', 'affiliations': []}])","('filename', '!RESS3860-TUDdatabase.pdf')","('title', '')"
"('id', 'SP:48df77c21af9288de8dddf154c88d1fc754d5730')","('year', 2015)","('abstractText', '')","('authors', [{'name': 'Sarah Bromley', 'affiliations': []}, {'name': 'Monica Choi', 'affiliations': []}])","('filename', '-first episode psychosis guide en.pdf')","('title', '')"
"('id', 'SP:cffe4c867bc069f44fac010a386555cd9a3e1c09')","('year', 2019)","('abstractText', 'I M A G E B Y M I K E S H O T S C OMPUTIN G T ECHNOLOG Y HAS produced many societal benefits. Nevertheless, it often serves as a double-edged sword and promotes negative consequences, such as distraction, addiction, time waste, and reduced well-being. This is perhaps not surprising given that “When you invent the ship, you also invent the shipwreck ... Every technology carries its own negativity, which is invented at the same time as technical progress.” Indeed, many computing technologies follow this pattern, exhibiting a duality of “bright” and “dark” effects on people, firms, and societies. The problem is that the understanding of downsides of technology sometimes lags our understanding of upsides. We, especially technology enthusiasts, are often enchanted by the abundant positive things new technologies can do, and this dilutes our ability to develop reliable judgments regarding the harms new technologies can cause. While studies of both positive5 and negative9 technology effects on children and youth exist, trends in technology use among youth and their possible adverse associations are less well explored. It is important to examine and discuss such trends given the lack of regulation of technology use and the limited awareness to possible technology use harms. By contrast with other harmful materials and behaviors (for example, using illicit substances, consuming junk food, not wearing seatbelts), the use of computing technologies is largely unregulated and many parents and children may not be aware of the extent of harm that may be associated with excessive use of technology. Hence, analyzing such trends can serve as a springboard for initiating a Economic and Business Dimensions Potential ‘Dark Sides’ of Leisure Technology Use in Youth')","('authors', [{'name': 'Ofir Turel', 'affiliations': []}])","('filename', '!!p24-turel.pdf')","('title', '')"
"('id', 'SP:05433ffd5383fc09922076fe35fd80196f3a740b')","('year', 2019)","('abstractText', '\ue049e word ""salutogenesis"" comes from the Latin salus = health and the Greek genesis = origin. Antonovsky developed the term from his studies of ""how people manage stress and stay well""[2] (unlike pathogenesis which studies the causes of diseases). He observed that stress is ubiquitous, but not all individuals have negative health outcomes in response to stress. Instead, some people achieve health despite their exposure to potentially disabling stress factors.')","('authors', [{'name': 'Aaron Antonovsky', 'affiliations': []}])","('filename', '-Salutogenesis - Wikipedia.pdf')","('title', '')"
"('id', 'SP:b0ca6551d315ee2d005259e82b8c12900495732a')","('year', 2017)","('abstractText', 'Wenn das Telefon ausgeschaltet ist oder einzelne seiner Funktionen, dann ist es auch aus. So zumindest sollten die Nutzer annehmen können. Nun jedoch werden Besitzer von Android-Geräten eines Besseren belehrt: Das US-amerikanische OnlineMagazin Quartz hat herausgefunden, dass aktuelle Smartphones und Tablet-Computer mit Android-Betriebssystem permanent Standortdaten aufzeichnen und zur Analyse weiterleiten.')","('authors', [])","('filename', '-Permanente Datensammlung_ Android weiß immer, wo du bist _ tagesschau.pdf')","('title', '')"
"('id', 'SP:0a3e4d45726f6a62607e42a03653fce86ef3f6bb')","('year', 2017)","('abstractText', 'Data anonymization has been defined as ""technology that converts clear text data into a nonhuman readable and irreversible form, including preimage resistant hashes (e.g., one-way hashes) and encryption techniques in which the decryption key has been discarded.""[1] Data anonymization enables the transfer of information across a boundary, such as between two departments within an agency or between two agencies, while reducing the risk of unintended disclosure, and in certain environments in a manner that enables evaluation and analytics post-anonymization.')","('authors', [{'name': 'Bin Zhou', 'affiliations': []}, {'name': 'Jian Pei', 'affiliations': []}, {'name': 'WoShun Luk', 'affiliations': []}])","('filename', '-Data anonymization - Wikipedia.pdf')","('title', '')"
"('id', 'SP:8f805347744212612e924a542ae9708bf725b697')","('year', 2018)","('abstractText', 'Der Beitrag befasst sich mit den rechtlichen Rahmenbedingungen der Benachrichtigung von Opfern eines Identitätsdiebstahls. Für die Entwicklung eines Frameworks auf dessen Grundlage die Betroffenen proaktiv informiert werden können, sind zunächst die Anforderungen des Datenschutzrechts, Urheberrechts und sich daraus ergebende mögliche Kollisionen verschiedener verfassungsrechtlich geschützter Güter zu klären. Basis des Frameworks ist die Auswertung öffentlich zugänglicher Ansammlungen von Daten den Datensenken. Diese enthalten personenbezogene Daten, welche für einen Identitätsdiebstahl missbraucht werden können. Denkbar ist jedoch auch, dass dem dadurch einschlägigen Datenschutzrecht das Grundrecht auf Informationsfreiheit gegenüberzustellen und entsprechend abzuwägen ist. Dient der Betrieb einer Datensenke der Sicherung des Lebensunterhalts und wurde die Senke als Bestandteil eines Geschäftsmodells erschaffen, spielen auch die zivilrechtlichen Erwägungen eine Rolle bei der Gestaltung des Frameworks.')","('authors', [{'name': 'Susan Gonscherowski', 'affiliations': []}, {'name': 'Fabian Rack', 'affiliations': []}, {'name': 'Oliver Vettermann', 'affiliations': []}])","('filename', '-MKWI_152.pdf')","('title', '')"
"('id', 'SP:5123091d50162d6a668de44867f68244a74c6bf9')","('year', 2020)","('abstractText', '')","('authors', [])","('filename', '-Leaked Documents Expose the Secretive Market for Your Web Browsing Data - VICE.pdf')","('title', '')"
"('id', 'SP:85fc5eda1a049ba7eecff0d521e630343a666b40')","('year', 2019)","('abstractText', 'To improve the efficiency their municipal services, many Indian cities have started enabling government-service requests, which involves collecting and sharing citizen data with government officials and, potentially, the public. But there’s also a national push to protect citizen privacy, potentially restricting data usage. Cities are now beginning to question how much citizen data, if any, they can use to track government operations.')","('authors', [])","('filename', '-How cities can leverage citizen data while protecting privacy _ MIT News.pdf')","('title', '')"
"('id', 'SP:664ee771ccae9a7692ef000838267a36d501cba2')","('year', 2019)","('abstractText', 'Digitalen Spuren kommt laut der Beschlussvorlage des schleswig-holsteinischen Innenministers und IMK-Vorsitzenden HansJoachim Grote (CDU) ""eine immer größere Bedeutung"" bei der Aufklärung von Kapitalverbrechen und terroristischen Bedrohungslagen zu. Fernseher, Kühlschränke oder Sprachassistenten wie Alexa und Siri, die mit dem Internet verbunden sind, sammeln demnach permanent wertvolle Daten, die für Sicherheitsbehörden von Bedeutung sein könnten.')","('authors', [])","('filename', '-Pläne der Innenminister_ Wenn Alexa die Beweise liefert _ tagesschau.de.pdf')","('title', '')"
